2015-03-19,73,66,79,53,74,27,89,1923,1908,0.49,0.09,4.2
2015-03-20,74,66,82,53,74,24,90,1923,1907,0.02,0.11,7.47
2015-03-21,65,64,66,54,74,30,87,1996,1907,1.01,0.1,1.38
2015-03-22,68,60,76,54,75,32,89,1970,1916,0,0.12,2.01
2015-04-01,74,69,79,56,77,39,89,1987,1936,0.01,0.1,2.26
2015-04-03,77,71,82,56,77,31,87,1987,2006,0,0.1,3.09
2015-04-04,67,61,73,56,77,34,88,1987,1897,0,0.1,3.35
2015-04-05,62,57,67,57,78,38,91,1973,1982,0.02,0.1,2.61
2015-04-08,78,71,84,57,78,35,92,1971,1986,0,0.1,3.26
2015-04-11,70,63,77,58,79,38,89,1989,1934,0.13,0.1,1.67
2015-04-12,74,68,80,58,79,41,89,1900,1981,0.14,0.1,4.04
2015-04-19,72,58,86,60,80,40,92,1901,1987,0.54,0.11,2.77
2015-04-20,67,59,74,61,81,39,93,2013,1987,0,0.11,2.7
2015-04-25,78,67,88,62,82,41,90,1910,1987,0.21,0.13,2.5
2015-05-01,71,57,84,64,83,45,94,1908,1947,0,0.15,4.11
2015-05-04,73,61,84,65,84,42,94,2013,1890,0,0.16,1.72
2015-05-05,73,63,82,65,84,49,94,1970,1906,0.13,0.17,3.6
2015-05-08,81,77,85,66,85,45,96,1892,1967,0,0.17,2.34
2015-05-09,82,76,87,66,85,46,94,1984,1998,0,0.17,2.42
2015-05-10,82,77,87,66,85,51,94,1984,1927,0.03,0.17,5.89
2015-05-13,75,68,81,67,86,50,94,1895,1907,1.55,0.16,3.44
2015-05-15,79,73,84,68,86,49,92,1890,2003,0.15,0.18,4.64
2015-05-22,72,65,79,69,88,48,96,1892,2005,0,0.16,3.1
2015-05-31,78,69,87,71,90,50,98,1889,1998,0,0.17,3.45
2015-06-04,80,69,90,72,90,59,98,1970,2011,0,0.17,3.72
2015-06-11,84,73,94,73,91,61,101,1976,1902,0.01,0.21,5.63
2015-06-13,80,74,86,73,91,57,101,1979,1911,0.35,0.21,3.58
2015-06-20,84,77,90,74,92,62,101,1976,1902,0.2,0.21,1.99
2015-06-22,84,76,92,74,92,66,101,1912,1933,0,0.22,3.13
2015-06-24,84,74,93,74,92,61,104,1904,2009,0,0.21,4.47
2015-06-25,85,75,94,75,92,60,102,1974,2009,0,0.2,2.82
2015-06-27,83,73,93,75,92,57,102,1974,1980,2.38,0.19,2.5
2015-06-29,84,76,92,75,93,59,107,1974,2013,0,0.19,2.5
